,scales,lacunarity
0,1,
1,2,
2,3,
3,4,
4,5,
5,6,
6,7,
7,8,
8,9,
9,10,
10,11,
11,12,
12,13,
13,14,
14,15,
15,16,
16,17,
17,18,
18,19,
19,20,
20,21,
21,22,
22,23,
23,24,
24,25,
25,26,
26,27,
27,28,
28,29,
29,30,
30,31,
31,32,
32,33,
33,34,
34,35,
35,36,
36,37,
37,38,
38,39,
39,40,
40,41,
41,42,
42,43,
43,44,
44,45,
45,46,
46,47,
47,48,
48,49,
49,50,
50,51,
51,52,
52,53,5211638.625923367
53,54,1024998.8060988716
54,55,421076.0962202826
55,56,219616.82881848724
56,58,85313.81842449882
57,59,58822.47270978587
58,60,42429.426997121605
59,61,31984.319251599372
60,62,25408.612317979696
61,63,21067.193711834374
62,65,15819.277912993668
63,66,14161.27323080673
64,67,12799.779896582711
65,68,11799.213924810212
66,70,10513.740268706797
67,71,9867.91760121833
68,72,9119.199615335263
69,74,7352.257940832124
70,75,6431.694523068123
71,77,4852.868168257551
72,78,4241.36870965842
73,80,3211.2246991983925
74,81,2809.0394469120106
75,83,2263.841446274304
76,84,2067.8243645284074
77,86,1755.9342712596901
78,87,1634.1946044652354
79,89,1439.613343300102
80,91,1264.8918155069182
81,93,1090.5890760557054
82,94,1013.1497503521994
83,96,872.6447162013484
84,98,756.5225456161536
85,100,657.6308704700822
86,102,555.3086936442345
87,104,457.3796812235333
88,106,373.7918923406853
89,108,304.9048431535797
90,110,244.1332632932951
91,112,195.4532039851829
92,114,159.37765943415388
93,116,133.05264683553568
94,119,108.43241059702746
95,121,99.30266045513416
96,123,94.91447723663961
97,126,93.839976301995
98,128,94.1203405113441
