,scales,lacunarity
0,1,
1,2,250607545.7389209
2,3,17756897.433831967
3,4,11677751.028620215
4,5,23735837.75777548
5,6,13020703.037271919
6,7,3003354.4121787767
7,8,2359031.4292262075
8,9,2382110.8510580347
9,10,1842494.844159934
10,11,1287875.8328571294
11,12,1052207.925652899
12,13,785887.0030721416
13,14,534520.5786992518
14,15,397545.85812293884
15,16,258076.97979105214
16,17,165602.0962440667
17,18,116094.63143076492
18,19,83321.89110431008
19,20,61142.0386385827
20,21,50720.6589813616
21,22,46111.688352914556
22,23,38773.50562986941
23,24,29463.097464867693
24,25,22004.0369882706
25,26,15683.885012904451
26,27,11524.12105612024
27,28,9439.535003924859
28,29,8597.921473092547
29,30,8505.264272956992
30,31,8926.563972248565
31,32,9473.362151253561
32,33,10051.081912204912
33,34,10714.240291003893
34,35,10953.251205706465
35,36,10366.703626182467
36,37,9434.554449570367
37,38,8823.571360266835
38,39,7995.665844435185
39,40,7255.001868206599
40,41,6950.6072036925725
41,42,6787.1720523926915
42,43,6584.439614407452
43,44,6296.82490430578
44,45,6053.397747181957
45,46,6046.203001380549
46,47,6308.956277299392
47,48,6259.235028149099
48,49,5926.1915184854815
49,50,5833.2559213245295
50,51,5768.260212408341
51,52,5450.190511720671
52,53,5157.241561625747
53,54,4990.05393112084
54,55,5063.103578372299
55,56,5484.523105122991
56,58,6924.287121664742
57,59,7710.618959760586
58,60,8525.271443737982
59,61,8947.195200570979
60,62,9294.797633975139
61,63,9408.052451857036
62,65,9445.4750418232
63,66,9862.197655415983
64,67,11062.100027734841
65,68,13328.414210023071
66,70,27662.19784133997
67,71,40825.18237489826
68,72,70405.90910494172
69,74,
70,75,
71,77,
72,78,
73,80,
74,81,
75,83,
76,84,
77,86,
78,87,
79,89,
80,91,
81,93,
82,94,
83,96,
84,98,
85,100,
86,102,
87,104,
88,106,
89,108,
90,110,
91,112,
92,114,
93,116,
94,119,
95,121,
96,123,
97,126,
98,128,
