,q,t(q),d(q),n_points,a(q),f(a)
0,-8.0,-19.625639636275203,2.1806266262528005,60,2.189668611895692,2.1082907411096663
1,-7.874015748031496,-19.349810143654434,2.1805021191163383,60,2.189128594348542,2.112577117287959
2,-7.748031496062993,-19.074047168813657,2.1803816295583567,60,2.1886126421383154,2.1166074848443444
3,-7.622047244094488,-18.798347703344156,2.1802649847714224,60,2.1881201969867687,2.1203921861536656
4,-7.496062992125984,-18.52270885066064,2.1801520148599636,60,2.1876502709332994,2.1239446150031505
5,-7.3700787401574805,-18.247127829851777,2.18004255351945,60,2.187201956817167,2.1272771874827363
6,-7.244094488188976,-17.971601978047513,2.1799364385979314,60,2.1867743058980933,2.1304022817778616
7,-7.118110236220472,-17.696128751482526,2.179833512549254,60,2.1863663732583563,2.1333318898639906
8,-6.9921259842519685,-17.420705725430203,2.1797336227878183,60,2.1859772165180433,2.1360776288316004
9,-6.866141732283465,-17.14533059317258,2.1796366219548724,60,2.185605905424956,2.1386506756091013
10,-6.740157480314961,-16.870001164160687,2.1795423681062127,60,2.185251527012583,2.141061737997134
11,-6.6141732283464565,-16.594715361507255,2.179450724830839,60,2.184913190555259,2.1433210302756205
12,-6.488188976377953,-16.31947121894059,2.1793615613096264,60,2.1845900313201145,2.145438259824255
13,-6.362204724409449,-16.044266877334728,2.179274752322471,60,2.184281213522643,2.147422621222164
14,-6.2362204724409445,-15.769100580917844,2.1791901782117153,60,2.183985932505833,2.1492827971019413
15,-6.110236220472441,-15.493970673248121,2.1791077248089827,60,2.183703416266348,2.1510269644080733
16,-5.984251968503937,-15.218875593033964,2.179027283331808,60,2.183432926413673,2.152662805046628
17,-5.858267716535433,-14.943813869864687,2.1789487502558154,60,2.1831737586470457,2.15419751999538
18,-5.73228346456693,-14.66878411990717,2.1788720271674973,60,2.182925242829882,2.1556378460476875
19,-5.606299212598425,-14.393785041615038,2.178797020602038,60,2.1826867427280945,2.156990074509501
20,-5.480314960629921,-14.118815411488564,2.1787236418700457,60,2.1824576554758366,2.158260071243035
21,-5.354330708661418,-13.843874079916183,2.1786518068765246,60,2.182237410822517,2.1594532975593985
22,-5.228346456692913,-13.56895996712225,2.1785814359349254,60,2.1820254702068778,2.1605748315524345
23,-5.102362204724409,-13.294072059240046,2.1785124535786915,60,2.1818213257005334,2.161629389523938
24,-4.9763779527559056,-13.019209404524288,2.1784447883723117,60,2.1816244988550038,2.162621347230095
25,-4.850393700787402,-12.744371109713459,2.1783783727235657,60,2.1814345394813803,2.1635547607329055
26,-4.724409448818898,-12.469556336548667,2.1783131426983227,60,2.181251024388898,2.164433386679857
27,-4.5984251968503935,-12.194764298453059,2.1782490378390134,60,2.1810735561012193,2.1652607018931214
28,-4.47244094488189,-11.919994257373336,2.1781860009876457,60,2.180901761568908,2.1660399221675117
29,-4.346456692913386,-11.645245520782975,2.178123978114047,60,2.1807352908920046,2.1667740202130013
30,-4.2204724409448815,-11.370517438845281,2.1780629181498505,60,2.180573816062258,2.167465742708508
31,-4.094488188976378,-11.095809401733044,2.1780027728285885,60,2.1804170297354784,2.168117626438173
32,-3.968503937007874,-10.821120837100636,2.1779434965321407,60,2.1802646440402644,2.1687320135077766
33,-3.8425196850393704,-10.546451207703685,2.177885046143688,60,2.1801163894276323,2.1693110656510495
34,-3.7165354330708666,-10.271800009160822,2.1778273809072193,60,2.1799720135659713,2.169856777640046
35,-3.590551181102362,-9.99716676785174,2.1777704622936036,60,2.179831280282866,2.1703709898282213
36,-3.4645669291338583,-9.722551038945447,2.1777142538731424,60,2.17969396855627,2.170855399852857
37,-3.3385826771653546,-9.447952404552497,2.1776587211944958,60,2.1795598715552345,2.171311573533446
38,-3.21259842519685,-9.173370471995028,2.177603831669848,60,2.1794287957295486,2.171740955005613
39,-3.0866141732283463,-8.898804872188302,2.1775495544661165,60,2.1793005599490236,2.1721448761251745
40,-2.9606299212598426,-8.624255258127686,2.1774958604020203,60,2.1791749946904835,2.172524565185782
41,-2.834645669291339,-8.349721303475127,2.177442721850803,60,2.1790519412715756,2.1728811549887697
42,-2.708661417322835,-8.075202701239203,2.177390112648362,60,2.178931251130186,2.173215690303895
43,-2.5826771653543306,-7.800699162543292,2.1773380080065894,60,2.1788127851469077,2.173529134762303
