,scales,lacunarity
0,1,
1,2,203714573640353.2
2,3,
3,4,
4,5,
5,6,
6,7,
7,8,
8,9,
9,10,
10,11,
11,12,
12,13,
13,14,
14,15,
15,16,
16,17,
17,18,
18,19,
19,20,
20,21,
21,22,
22,23,
23,24,
24,25,
25,26,
26,27,
27,28,
28,29,
29,30,
30,31,
31,32,
32,33,
33,34,
34,35,
35,36,
36,37,
37,38,
38,39,
39,40,
40,41,
41,42,
42,43,
43,44,
44,45,
45,46,
46,47,
47,48,
48,49,
49,50,
50,51,
51,52,
52,53,
53,54,
54,55,
55,56,
56,58,
57,59,
58,60,
59,61,
60,62,
61,63,
62,65,
63,66,
64,67,
65,68,
66,70,
67,71,
68,72,
69,74,
70,75,
71,77,
72,78,
73,80,
74,81,
75,83,
76,84,
77,86,
78,87,
79,89,
80,91,202927.40257919807
81,93,1096610.1632907782
82,94,63720.51384700392
83,96,6437.893553261291
84,98,1806.7019184676446
85,100,1740.3785975070614
86,102,1459.0545972716384
87,104,1236.164218158341
88,106,1902.9706190706115
89,108,1741.6404946913187
90,110,2022.0682912243044
91,112,3368.620705374493
92,114,6304.44226310697
93,116,1996.380327358695
94,119,5084.221617750333
95,121,1727.0666472186308
96,123,2309.627642927063
97,126,
98,128,
