,scales,lacunarity
0,1,
1,2,236082031.9912218
2,3,17843889.126106318
3,4,7636729.984605684
4,5,7456842.652731609
5,6,6082764.413657103
6,7,3935464.403767406
7,8,5820395.756692174
8,9,21669224.239450835
9,10,259208706.5671961
10,11,
11,12,
12,13,
13,14,
14,15,
15,16,
16,17,
17,18,
18,19,
19,20,56363906.330162875
20,21,12187002.739673795
21,22,7375141.921531136
22,23,4036140.8218845795
23,24,2281540.4785561073
24,25,1676698.154164738
25,26,1211811.5777666438
26,27,1154903.4460332748
27,28,1860890.4815779603
28,29,14534386.417340487
29,30,
30,31,
31,32,
32,33,
33,34,
34,35,
35,36,
36,37,3298611524.0447354
37,38,770450.3719798516
38,39,164298.17180635242
39,40,74435.66420007803
40,41,54254.65016221581
41,42,48192.8558413319
42,43,45045.02781850184
43,44,39612.75543492405
44,45,30319.687261960626
45,46,22241.010384211306
46,47,18451.539240901475
47,48,15813.619479136443
48,49,14636.672616256586
49,50,15635.428250454472
50,51,18132.692250868866
51,52,21264.41298523477
52,53,27309.113911798777
53,54,44339.5156954866
54,55,95258.50448149722
55,56,213444.30404707303
56,58,118049.4795025904
57,59,44212.636676050904
58,60,18598.561687425114
59,61,9620.75170654437
60,62,6126.092437287497
61,63,4507.113493736558
62,65,3655.903613656506
63,66,3951.3251118698345
64,67,4519.866589820576
65,68,5607.13218501761
66,70,13248.67978068837
67,71,25921.7738893567
68,72,78184.60167741052
69,74,
70,75,
71,77,
72,78,
73,80,
74,81,
75,83,
76,84,
77,86,
78,87,
79,89,
80,91,
81,93,
82,94,
83,96,
84,98,
85,100,
86,102,
87,104,
88,106,
89,108,
90,110,
91,112,
92,114,
93,116,
94,119,
95,121,
96,123,
97,126,
98,128,
