,q,t(q),d(q),n_points,a(q),f(a)
0,-8.0,-19.60336299915339,2.1781514443503767,60,2.1806660785283167,2.158034370926856
1,-7.874015748031496,-19.328639579755574,2.178116438889936,60,2.180568548505457,2.158808489161423
2,-7.748031496062993,-19.053928317553705,2.178081814877876,60,2.1804730830426187,2.1595541938219185
3,-7.622047244094488,-18.77922895466159,2.178047559125134,60,2.180379629374596,2.16027240950719
4,-7.496062992125984,-18.50454124360479,2.1780136588858277,60,2.180288097867372,2.1609643210084286
5,-7.3700787401574805,-18.229864946971436,2.177980101848892,60,2.1801984122776736,2.1616309793186588
6,-7.244094488188976,-17.955199837064164,2.177946876129082,60,2.1801104962707196,2.162273407386511
7,-7.118110236220472,-17.680545695554542,2.177913970257446,60,2.180024277004297,2.1628925742011234
8,-6.9921259842519685,-17.405902313141183,2.1778813731713598,60,2.1799396841279233,2.1634894036483026
9,-6.866141732283465,-17.131269489212695,2.1778490742042163,60,2.179856649999185,2.1640647742576586
10,-6.740157480314961,-16.85664703151638,2.1778170630748526,60,2.1797751095659867,2.164619521370831
11,-6.6141732283464565,-16.58203475583341,2.1777853298767766,60,2.179695000331021,2.1651544386833486
12,-6.488188976377953,-16.30743248566118,2.177753865067266,60,2.179616262286963,2.1656702799567906
13,-6.362204724409449,-16.032840051903374,2.177722659456394,60,2.179538837855166,2.1661677606673564
14,-6.2362204724409445,-15.758257292568203,2.1776917041960413,60,2.1794626718189107,2.166647559650272
15,-6.110236220472441,-15.483684052475093,2.1776609907689224,60,2.1793877112551057,2.167110320711613
16,-5.984251968503937,-15.209120182970157,2.177630510977689,60,2.179313905464036,2.1675566542089975
17,-5.858267716535433,-14.934565541650583,2.1776002569341264,60,2.179241205897443,2.167987138597846
18,-5.73228346456693,-14.660019992098103,2.17757022104849,60,2.179169566086937,2.168402321930465
19,-5.606299212598425,-14.38548340362154,2.1775403960189936,60,2.179098941571272,2.1688027233164586
20,-5.480314960629921,-14.110955651008517,2.1775107748214846,60,2.179029289823828,2.1691888343362002
21,-5.354330708661418,-13.8364366142862,2.177481350699315,60,2.178960570181246,2.1695611204023635
22,-5.228346456692913,-13.561926178491113,2.1774521171534404,60,2.1788927437718666,2.1699200220775747
23,-5.102362204724409,-13.287424233447796,2.1774230679327355,60,2.1788257734458423,2.1702659563383015
24,-4.9763779527559056,-13.01293067355624,2.1773941970245616,60,2.1787596237064184,2.1705993177888647
25,-4.850393700787402,-12.738445397587917,2.177365498645579,60,2.1786942606419144,2.170920479828709
26,-4.724409448818898,-12.463968308490232,2.1773369672328187,60,2.178629651860198,2.1712297957648854
27,-4.5984251968503935,-12.189499313199166,2.1773085974350126,60,2.178565766424344,2.1715275998777734
28,-4.47244094488189,-11.915038322459907,2.1772803841041846,60,2.1785025747896154,2.1718142084402103
29,-4.346456692913386,-11.640585250655283,2.1772523222875124,60,2.178440048743363,2.1720899206841313
30,-4.2204724409448815,-11.366140015641696,2.17722440721945,60,2.178378161345551,2.1723550197266146
31,-4.094488188976378,-11.091702538592394,2.1771966343141176,60,2.178316886872067,2.172609773446922
32,-3.968503937007874,-10.817272743847736,2.177168999157944,60,2.1782562007598374,2.1728544353205077
33,-3.8425196850393704,-10.54285055877235,2.177141497502583,60,2.178196079553349,2.173089245213024
34,-3.7165354330708666,-10.268435913618776,2.1771141252580706,60,2.1781365008538804,2.173314430130336
35,-3.590551181102362,-9.994028741397486,2.1770868784862447,60,2.1780774432701,2.1735302049316143
36,-3.4645669291338583,-9.719628977752949,2.1770597533943996,60,2.178018886370769,2.173736773003828
37,-3.3385826771653546,-9.445236560845554,2.177032746329193,60,2.1779608106395973,2.1739343268991815
38,-3.21259842519685,-9.170851431239116,2.177005853770781,60,2.1779031974314185,2.174123048939757
39,-3.0866141732283463,-8.89647353179377,2.176979072327185,60,2.1778460289304267,2.174303111788044
40,-2.9606299212598426,-8.622102807563998,2.176952398728882,60,2.1777892881106693,2.174474678984378
41,-2.834645669291339,-8.347739205701576,2.176925829823614,60,2.177732958697326,2.1746379054571854
42,-2.708661417322835,-8.07338267536324,2.176899362571404,60,2.17767702513056,2.1747929380017217
43,-2.5826771653543306,-7.799033167622831,2.1768729940397793,60,2.1776214725304746,2.174939915733102
44,-2.456692913385827,-7.524690635387764,2.1768467213991936,60,2.1775662866635863,2.175078970513442
45,-2.330708661417323,-7.250355033319567,2.176820541918641,60,2.177511453911611,2.1752102273523475
46,-2.2047244094488185,-6.976026317758334,2.1767944529614462,60,2.177456961240716,2.1753338047866775
47,-2.078740157480315,-6.7017044466509255,2.176768451981247,60,2.177402796172613,2.1754498152369903
48,-1.952755905511811,-6.427389379482699,2.176742536518141,60,2.1773489467574327,2.1755583653422006
49,-1.8267716535433074,-6.153081077212621,2.176716704194994,60,2.1772954015472816,2.1756595562758543
50,-1.7007874015748037,-5.878779502211606,2.1766909527139178,60,2.1772421495713337,2.1757534840430375
51,-1.574803149606299,-5.604484618203913,2.1766652798528963,60,2.1771891803122148,2.1758402397594807
52,-1.4488188976377954,-5.330196390211458,2.1766396834625565,60,2.177136483683383,2.1759199099142728
53,-1.3228346456692917,-5.0559147845008745,2.176614161463088,60,2.177084050007875,2.1759925766164407
