,scales,lacunarity
0,1,
1,2,446162221.6255989
2,3,498860640.8776962
3,4,
4,5,1405365002.5554197
5,6,3920680713.4286866
6,7,584437372.6641122
7,8,
8,9,
9,10,
10,11,
11,12,
12,13,
13,14,
14,15,
15,16,
16,17,
17,18,
18,19,
19,20,
20,21,
21,22,
22,23,
23,24,
24,25,
25,26,
26,27,
27,28,
28,29,
29,30,
30,31,
31,32,
32,33,
33,34,
34,35,
35,36,
36,37,
37,38,
38,39,
39,40,
40,41,
41,42,
42,43,
43,44,
44,45,
45,46,
46,47,
47,48,
48,49,
49,50,
50,51,
51,52,
52,53,
53,54,
54,55,
55,56,
56,58,
57,59,
58,60,
59,61,
60,62,
61,63,
62,65,
63,66,
64,67,
65,68,
66,70,
67,71,
68,72,
69,74,
70,75,
71,77,73401.88247647377
72,78,43614.94531476248
73,80,19314.13103371476
74,81,13906.419915423981
75,83,6059.2068579745255
76,84,4758.1837236584215
77,86,3045.9534618246366
78,87,2341.4935908728216
79,89,1066.9958824232572
80,91,560.813492071615
81,93,445.69412532915175
82,94,391.4172704262273
83,96,295.68671242415957
84,98,210.34027408634995
85,100,201.4625153017548
86,102,227.69625289201886
87,104,243.20200471167527
88,106,220.76275467457114
89,108,147.4952067064757
90,110,94.73472383044677
91,112,69.92087835593009
92,114,71.35423876311116
93,116,73.7629934807407
94,119,68.69966771696437
95,121,57.5406507739218
96,123,56.217823907929535
97,126,54.998786077157156
98,128,67.09479722058319
