,q,t(q),d(q),n_points,a(q),f(a)
0,-8.0,-19.599107537303098,2.1776786152559,60,2.1794354716114825,2.1636237644112377
1,-7.874015748031496,-19.324537011940063,2.177654126456422,60,2.1793718028946594,2.164129115131722
2,-7.748031496062993,-19.049974438150336,2.17762984126471,60,2.1793092403851957,2.1646178039847257
3,-7.622047244094488,-18.775419677799775,2.1776057525849963,60,2.179247754780181,2.1650903342783927
4,-7.496062992125984,-18.500872598529135,2.177581853580352,60,2.179187296473805,2.165547352520772
5,-7.3700787401574805,-18.226333073527094,2.177558137665043,60,2.179127823567708,2.165989428965087
6,-7.244094488188976,-17.95180098130917,2.17753459849691,60,2.179069294305825,2.1664171170464996
7,-7.118110236220472,-17.677276205502707,2.1775112299697805,60,2.179011669039867,2.1668309392661733
8,-6.9921259842519685,-17.40275863463806,2.177488026205945,60,2.178954909640373,2.16723139242821
9,-6.866141732283465,-17.12824816194609,2.177464981548702,60,2.17889897959045,2.1676189477502437
10,-6.740157480314961,-16.853744685162027,2.1774420905550125,60,2.1788438438959834,2.1679940522883108
11,-6.6141732283464565,-16.57924810633578,2.1774193479882564,60,2.1787894690461016,2.1683571299678626
12,-6.488188976377953,-16.30475833164858,2.177396748811114,60,2.178735822958705,2.168708582688163
13,-6.362204724409449,-16.030275271236054,2.1773742881785867,60,2.178682874931388,2.169048791357616
14,-6.2362204724409445,-15.755798839017583,2.1773519614311567,60,2.1786305955912177,2.1693781169054223
15,-6.110236220472441,-15.481328952531943,2.177329764088103,60,2.1785789568453025,2.1696969012567084
16,-5.984251968503937,-15.206865532779046,2.1773076918409684,60,2.178527931832684,2.1700054682684975
17,-5.858267716535433,-14.93240850406781,2.177285740547201,60,2.1784774948762298,2.1703041246354093
18,-5.73228346456693,-14.65795779386988,2.177263906223947,60,2.1784276214368283,2.1705931607516824
19,-5.606299212598425,-14.383513332679229,2.177242185042029,60,2.178378288066977,2.1708728515478306
20,-5.480314960629921,-14.109075053877381,2.177220573320082,60,2.178329472366811,2.1711434572844635
21,-5.354330708661418,-13.834642893604144,2.1771990675188677,60,2.178281152941154,2.1714052243129256
22,-5.228346456692913,-13.560216790633778,2.1771776642357645,60,2.1782333093567754,2.1716583858078025
23,-5.102362204724409,-13.285796686256312,2.1771563601994215,60,2.1781859221020756,2.171903162459895
24,-4.9763779527559056,-13.01138252416396,2.1771351522645888,60,2.178138972547571,2.1721397631398265
25,-4.850393700787402,-12.736974250342413,2.177114037407115,60,2.178092442907403,2.1723683855317013
