,scales,lacunarity
0,1,
1,2,
2,3,
3,4,
4,5,
5,6,
6,7,
7,8,
8,9,
9,10,
10,11,
11,12,
12,13,
13,14,
14,15,
15,16,
16,17,
17,18,
18,19,
19,20,
20,21,
21,22,
22,23,
23,24,
24,25,
25,26,
26,27,
27,28,
28,29,
29,30,
30,31,
31,32,
32,33,
33,34,
34,35,
35,36,
36,37,
37,38,
38,39,
39,40,
40,41,
41,42,
42,43,
43,44,
44,45,
45,46,
46,47,
47,48,
48,49,
49,50,
50,51,
51,52,
52,53,
53,54,
54,55,
55,56,
56,58,
57,59,
58,60,
59,61,
60,62,8393052.564348029
61,63,350288.4591592022
62,65,48126.42071590564
63,66,26809.33442330832
64,67,16731.48294994229
65,68,11491.912220405582
66,70,6479.9811303833
67,71,5123.3584543051375
68,72,4141.021672103418
69,74,2837.720460715046
70,75,2386.487615217506
71,77,1736.2243038383756
72,78,1503.2673953665292
73,80,1133.6470675176358
74,81,986.0190808070672
75,83,763.5656941716306
76,84,679.9464049188995
77,86,550.6118062474065
78,87,501.9900632310049
79,89,425.7032654578349
80,91,362.59073149185133
81,93,304.40706573141404
82,94,278.01880977083647
83,96,230.60882217640344
84,98,190.8229189713005
85,100,158.2021218526223
86,102,129.41894639280264
87,104,104.85760979011916
88,106,85.05679572824343
89,108,69.31083764426717
90,110,56.351874144776026
91,112,46.199111394509316
92,114,38.54231199368559
93,116,32.805538113466284
94,119,26.977067450984887
95,121,24.381129941577207
96,123,22.62410949182132
97,126,20.924675345741644
98,128,19.927194284666612
