,scales,lacunarity
0,1,
1,2,2753134530.2072096
2,3,
3,4,
4,5,
5,6,
6,7,
7,8,
8,9,
9,10,
10,11,
11,12,
12,13,
13,14,
14,15,
15,16,
16,17,
17,18,
18,19,
19,20,
20,21,
21,22,
22,23,
23,24,
24,25,
25,26,
26,27,
27,28,
28,29,
29,30,
30,31,
31,32,
32,33,
33,34,
34,35,
35,36,
36,37,
37,38,
38,39,
39,40,
40,41,
41,42,
42,43,
43,44,
44,45,
45,46,
46,47,
47,48,
48,49,
49,50,
50,51,
51,52,
52,53,
53,54,
54,55,
55,56,
56,58,
57,59,
58,60,
59,61,
60,62,
61,63,
62,65,
63,66,
64,67,
65,68,
66,70,
67,71,
68,72,
69,74,
70,75,
71,77,
72,78,
73,80,
74,81,
75,83,
76,84,
77,86,79693.01254236232
78,87,47064.24243010868
79,89,6359.537625604322
80,91,4898.89801711511
81,93,2367.57354321728
82,94,1830.33754944431
83,96,1388.2108305932584
84,98,1125.4622055244336
85,100,1069.5083575596848
86,102,1600.016308492131
87,104,1719.5632039854188
88,106,1925.2295387509387
89,108,2131.6761013664977
90,110,1002.8964040872601
91,112,1113.2008597731804
92,114,2089.728823262878
93,116,1218.3419152565973
94,119,1724.4729955732569
95,121,1436.087239016069
96,123,1165.0789706048004
97,126,5087.44595759232
98,128,49646.88799472334
