,q,t(q),d(q),n_points,a(q),f(a)
0,-8.0,-19.629195556788254,2.1810217285320284,51,2.182132947854798,2.1721319739498703
1,-7.874015748031496,-19.354283263946467,2.1810061885724945,51,2.182099720059407,2.1723957044235753
2,-7.748031496062993,-19.079375150083322,2.180990678722396,51,2.182066606568881,2.1726543558803364
3,-7.622047244094488,-18.804471200835895,2.1809751986357613,51,2.1820336064856543,2.172907964000359
4,-7.496062992125984,-18.52957140201964,2.1809597479670937,51,2.1820007182548373,2.173156569117239
5,-7.3700787401574805,-18.25467573962847,2.1809443263714163,51,2.1819679404966865,2.173400209668639
6,-7.244094488188976,-17.979784199834857,2.180928933504324,51,2.181935271783623,2.173638923921999
7,-7.118110236220472,-17.70489676898986,2.1809135690220294,51,2.1819027107007445,2.1738727495136967
8,-6.9921259842519685,-17.430013433623113,2.180898232581414,51,2.181870255830394,2.174101723564924
9,-6.866141732283465,-17.15513418044273,2.1808829238400667,51,2.1818379057562542,2.1743258826517557
10,-6.740157480314961,-16.880258996335222,2.1808676424563305,51,2.1818056590626353,2.174545262810687
11,-6.6141732283464565,-16.60538786836534,2.1808523880893467,51,2.181773514335933,2.1747598995292474
12,-6.488188976377953,-16.33052078377585,2.180837160399088,51,2.1817414701637787,2.1749698277525926
13,-6.362204724409449,-16.05565772998731,2.1808219590464044,51,2.1817095251359286,2.1751750818784092
14,-6.2362204724409445,-15.7807986945978,2.1808067836930585,51,2.1816776778447404,2.17537569575501
15,-6.110236220472441,-15.505943665382588,2.1807916340017592,51,2.181645926884977,2.1755717026838326
16,-5.984251968503937,-15.231092630293784,2.180776509636201,51,2.1816142708546757,2.1757631354154086
17,-5.858267716535433,-14.956245577459933,2.180761410261092,51,2.181582708354663,2.175950026153876
18,-5.73228346456693,-14.681402495185624,2.180746335542192,51,2.181551237989667,2.176132406551943
19,-5.606299212598425,-14.406563371951,2.1807312851463374,51,2.181519858368051,2.176310307714367
20,-5.480314960629921,-14.131728196411302,2.1807162587414766,51,2.181488568101817,2.176483760199769
21,-5.354330708661418,-13.856896957396323,2.180701255996695,51,2.181457365807864,2.1766527940156326
22,-5.228346456692913,-13.582069643909868,2.180686276582242,51,2.181426250107038,2.1768174386258288
23,-5.102362204724409,-13.307246245129202,2.1806713201695596,51,2.181395219624882,2.176977722948701
24,-4.9763779527559056,-13.03242675040441,2.180656386431304,51,2.181364272992166,2.17713367535678
25,-4.850393700787402,-12.757611149257801,2.180641475041374,51,2.1813334088442407,2.177285323682586
26,-4.724409448818898,-12.482799431383253,2.1806265856749283,51,2.181302625822119,2.17743269521576
27,-4.5984251968503935,-12.207991586645523,2.1806117180084126,51,2.1812719225720936,2.177575816707707
28,-4.47244094488189,-11.933187605079576,2.1805968717195774,51,2.181241297745899,2.177714714373508
29,-4.346456692913386,-11.658387476889844,2.1805820464874968,51,2.181210750001381,2.1778494138917157
30,-4.2204724409448815,-11.38359119244951,2.180567241992591,51,2.181180278002016,2.1779799404095055
31,-4.094488188976378,-11.108798742299735,2.1805524579166407,51,2.181149880417543,2.1781063185428664
32,-3.968503937007874,-10.834010117148889,2.1805376939428034,51,2.1811195559238374,2.1782285723802737
33,-3.8425196850393704,-10.559225307871774,2.1805229497556344,51,2.1810893032029766,2.1783467254855324
34,-3.7165354330708666,-10.284444305508801,2.180508225041098,51,2.1810591209438144,2.1784608008987174
35,-3.590551181102362,-10.009667101265167,2.18049351948658,51,2.181029007841555,2.178570821141159
36,-3.4645669291338583,-9.734893686510041,2.1804788327809086,51,2.1809989625980526,2.178676808217576
37,-3.3385826771653546,-9.460124052775672,2.180464164614356,51,2.180968983922291,2.178778783617786
38,-3.21259842519685,-9.185358191756567,2.1804495146786618,51,2.1809390705298117,2.178876768322212
