,scales,lacunarity
0,1,
1,2,18603809414.420742
2,3,134756139.73029938
3,4,30509742.419469617
4,5,29490194.865371026
5,6,221310083.84414038
6,7,303370579.74355537
7,8,22205396.448561914
8,9,7273208.967903223
9,10,3931172.875816063
10,11,4114025.810671148
11,12,2155598.3068146403
12,13,3106200.1064955597
13,14,6934461.25955188
14,15,228876211.71199098
15,16,
16,17,
17,18,
18,19,1121190.8145130258
19,20,260980.19811156992
20,21,195408.22718533225
21,22,152460.1440159114
22,23,117002.66210989005
23,24,85567.97944467682
24,25,54211.01194155067
25,26,44270.67815539359
26,27,52843.97586322355
27,28,57551.011336805146
28,29,95718.0405859532
29,30,802769.3916222553
30,31,
31,32,
32,33,
33,34,
34,35,
35,36,
36,37,
37,38,
38,39,
39,40,
40,41,
41,42,
42,43,
43,44,
44,45,
45,46,
46,47,
47,48,
48,49,
49,50,
50,51,
51,52,
52,53,
53,54,
54,55,
55,56,
56,58,
57,59,
58,60,
59,61,
60,62,
61,63,
62,65,
63,66,
64,67,
65,68,
66,70,
67,71,
68,72,
69,74,
70,75,
71,77,
72,78,
73,80,
74,81,
75,83,
76,84,
77,86,
78,87,
79,89,
80,91,
81,93,
82,94,
83,96,
84,98,
85,100,
86,102,
87,104,
88,106,
89,108,
90,110,
91,112,
92,114,
93,116,
94,119,
95,121,12594.659016222491
96,123,2074.216828602098
97,126,
98,128,1846.8283025890473
