,q,t(q),d(q),n_points,a(q),f(a)
0,-8.0,-19.637459249853354,2.181939916650373,51,2.1842902286911423,2.1631374203242153
1,-7.874015748031496,-19.36227792236993,2.181907095067419,51,2.1842134492865566,2.1637468256253882
2,-7.748031496062993,-19.087106228507885,2.1818744293613874,51,2.1841372949517726,2.1643416754957236
3,-7.622047244094488,-18.81194408977053,2.181841917261057,51,2.1840617596794982,2.164922173473254
4,-7.496062992125984,-18.536791428856272,2.1818095565011553,51,2.1839868330341408,2.1654885544586193
5,-7.3700787401574805,-18.26164816966433,2.1817773448234896,51,2.1839125057128412,2.166041040946066
6,-7.244094488188976,-17.986514237299126,2.181745279978022,51,2.1838387680690228,2.1665798544369146
7,-7.118110236220472,-17.711389558073392,2.1817133597238807,51,2.183765610520399,2.167105212321893
8,-6.9921259842519685,-17.43627405951,2.1816815818303152,51,2.183693023452814,2.1676173285958384
9,-6.866141732283465,-17.16116767034264,2.1816499440775927,51,2.183620997256803,2.168116413587269
10,-6.740157480314961,-16.886070320515426,2.1816184442578423,51,2.1835495223284678,2.168602673955043
11,-6.6141732283464565,-16.610981941181425,2.1815870801758437,51,2.1834785890807153,2.1690763126160633
12,-6.488188976377953,-16.335902464700194,2.181555849649763,51,2.1834081879488925,2.1695375287168286
13,-6.362204724409449,-16.06083182463444,2.181524750511844,51,2.183338309398855,2.169986517592907
14,-6.2362204724409445,-15.785769955745744,2.181493780609042,51,2.1832689439335278,2.170423470742957
15,-6.110236220472441,-15.510716793989525,2.1814629378036208,51,2.183200082099045,2.170848575809533
16,-5.984251968503937,-15.235672276509195,2.1814322199736953,51,2.183131714490605,2.171262016565418
17,-5.858267716535433,-14.960636341629662,2.1814016250137396,51,2.1830638317578774,2.171663972906348
18,-5.73228346456693,-14.68560892885008,2.181371150835041,51,2.1829964246104527,2.172054620846854
19,-5.606299212598425,-14.410589978836098,2.1813407953661317,51,2.182929483821939,2.1724341325272754
20,-5.480314960629921,-14.135579433411438,2.1813105565531625,51,2.1828630002345486,2.1728026762205257
21,-5.354330708661418,-13.860577235549012,2.1812804323602535,51,2.18279696476352,2.173160416342764
22,-5.228346456692913,-13.585583329361516,2.181250420769801,51,2.1827313684000758,2.1735075134745063
23,-5.102362204724409,-13.310597660091634,2.1812205197827583,51,2.182666202215083,2.173844124380029
24,-4.9763779527559056,-13.03562017410177,2.181190727418873,51,2.182601457362368,2.1741704020307733
25,-4.850393700787402,-12.76065081886348,2.181161041716907,51,2.1825371250809384,2.17448649563625
26,-4.724409448818898,-12.485689542946528,2.1811314607348127,51,2.182473196698028,2.174792550672379
27,-4.5984251968503935,-12.210736296007672,2.181101982549894,51,2.1824096636308106,2.1750887089179614
28,-4.47244094488189,-11.935791028779184,2.18107260525893,51,2.1823465173886736,2.175375108489682
