,scales,lacunarity
0,1,
1,2,
2,3,
3,4,
4,5,
5,6,
6,7,
7,8,11364168.259753823
8,9,2817072.9526906605
9,10,1381189.2346155944
10,11,944132.6935660369
11,12,711871.0072238791
12,13,864539.94154571
13,14,605706.4174448168
14,15,436712.9434339361
15,16,309769.8902333258
16,17,229249.4996810802
17,18,119445.00966606
18,19,48484.63799400056
19,20,21800.638069966284
20,21,14144.442476359309
21,22,10922.86173246005
22,23,8135.087346459991
23,24,6019.5820778480675
24,25,4801.439846460454
25,26,4652.048773247232
26,27,4502.48063725439
27,28,4341.260034716286
28,29,4461.620250112304
29,30,5725.404111322658
30,31,6078.637764708574
31,32,7214.090071149464
32,33,9882.25531711041
33,34,10191.553054537275
34,35,8687.7379923109
35,36,7953.195457133622
36,37,8601.240795999214
37,38,9483.721256716639
38,39,10986.76641560307
39,40,27408.161393100927
40,41,28952.65310975761
41,42,17439.06501846555
42,43,17421.937829915303
43,44,16468.181789155016
44,45,10883.77684955648
45,46,9514.9661965713
46,47,8042.303072910514
47,48,7453.495288961566
48,49,6421.5189491744395
49,50,4714.9142328689395
50,51,3951.9759103171787
51,52,3860.912381021055
52,53,4078.991859576164
53,54,3706.2885231138384
54,55,4865.830768377945
55,56,5752.594373966096
56,58,8217.71123305582
57,59,8860.786742889302
58,60,9742.012399231344
59,61,11699.72307500386
60,62,13613.434656422836
61,63,10715.573510995802
62,65,463713.4826815106
63,66,
64,67,
65,68,
66,70,
67,71,
68,72,
69,74,
70,75,
71,77,
72,78,
73,80,
74,81,
75,83,
76,84,
77,86,
78,87,
79,89,
80,91,
81,93,
82,94,
83,96,
84,98,
85,100,
86,102,
87,104,
88,106,
89,108,
90,110,
91,112,
92,114,
93,116,1819.3704548078601
94,119,125.29827197901557
95,121,84.15699312290857
96,123,35.696134420041815
97,126,33.28595818159233
98,128,15.712250761079456
