,q,t(q),d(q),n_points,a(q),f(a)
0,-8.0,-19.631412266117945,2.1812680295686606,51,2.1826718620641414,2.170037369604813
1,-7.874015748031496,-19.356432621372345,2.181248396552163,51,2.1826300195025548,2.1703694756829357
2,-7.748031496062993,-19.081458240106496,2.1812287997241446,51,2.1825883043233483,2.170695315270475
3,-7.622047244094488,-18.80648910629681,2.1812092388125066,51,2.182546715940403,2.1710149249557844
4,-7.496062992125984,-18.531525204036694,2.1811897135427802,51,2.1825052533270384,2.171328344451336
5,-7.3700787401574805,-18.256566517538783,2.1811702236382176,51,2.182463915551931,2.1716356123686467
6,-7.244094488188976,-17.98161303113711,2.1811507688198786,51,2.1824227016366886,2.1719367673122782
7,-7.118110236220472,-17.706664729289184,2.1811313488067183,51,2.1823816105949314,2.172231847574082
8,-6.9921259842519685,-17.431721596578,2.1811119633156713,51,2.1823406414223268,2.1725208911998415
9,-6.866141732283465,-17.15678361771398,2.1810926120617373,51,2.18229979310017,2.172803935955333
10,-6.740157480314961,-16.881850777536826,2.1810732947580638,51,2.1822590645949482,2.1730810193220567
11,-6.6141732283464565,-16.606923061017316,2.181054011116028,51,2.1822184548593997,2.1733521784827037
12,-6.488188976377953,-16.332000453259017,2.1810347608453156,51,2.1821779628328475,2.1736174503120385
13,-6.362204724409449,-16.057082939499928,2.181015543654001,51,2.1821375874420057,2.1738768713649623
14,-6.2362204724409445,-15.782170505114053,2.1809963592486232,51,2.1820973276011095,2.1741304778693387
15,-6.110236220472441,-15.507263135612934,2.1809772073342666,51,2.182057182212623,2.174378305715331
16,-5.984251968503937,-15.232360816647072,2.1809580876146315,51,2.1820171501682832,2.174620390443172
17,-5.858267716535433,-14.957463534007294,2.180938999792108,51,2.181977230348594,2.174856767240728
18,-5.73228346456693,-14.6825712736261,2.1809199435678535,51,2.181937421624205,2.1750874709298706
19,-5.606299212598425,-14.407684021578874,2.1809009186418558,51,2.1818977228562266,2.175312535959714
20,-5.480314960629921,-14.132801764085098,2.1808819247130105,51,2.181858132896119,2.1755319964024302
21,-5.354330708661418,-13.85792448750946,2.1808629614791837,51,2.181818650587203,2.1757458859401826
22,-5.228346456692913,-13.583052178362925,2.180844028637284,51,2.1817792747642755,2.175954237863092
23,-5.102362204724409,-13.308184823303746,2.180825125883324,51,2.1817400042543516,2.176157085061071
