,scales,lacunarity
0,1,
1,2,
2,3,
3,4,40315575.65518256
4,5,31896879.816071663
5,6,580477969.6642755
6,7,74660140.78344896
7,8,11039344.37946581
8,9,2872877.82045354
9,10,2179887.942078053
10,11,1367052.4871660531
11,12,865955.7739416998
12,13,671089.2798332617
13,14,359399.7739119202
14,15,450282.468104402
15,16,487352.9058075308
16,17,699066.1534713942
17,18,361152.0190814858
18,19,240351.16239072333
19,20,115179.03227736162
20,21,68955.16294588038
21,22,45304.856235580526
22,23,35232.7066727
23,24,50212.79839057544
24,25,55459.269109545094
25,26,73518.7691059855
26,27,103102.95908395354
27,28,211121.89421633852
28,29,519488.2052789166
29,30,
30,31,
31,32,
32,33,
33,34,
34,35,
35,36,
36,37,
37,38,
38,39,
39,40,
40,41,
41,42,
42,43,
43,44,
44,45,
45,46,
46,47,
47,48,
48,49,
49,50,
50,51,
51,52,
52,53,
53,54,
54,55,
55,56,
56,58,
57,59,
58,60,
59,61,
60,62,
61,63,
62,65,
63,66,
64,67,
65,68,
66,70,
67,71,
68,72,
69,74,55338.70600723896
70,75,19919.675837221363
71,77,9189.253183941266
72,78,4655.088219464995
73,80,1186.983531946786
74,81,1070.6098465651469
75,83,1225.8538656682524
76,84,1703.4332885089404
77,86,9672.325694986264
78,87,7267.441582045061
79,89,2471101.2428033655
80,91,
81,93,
82,94,509659.8828527971
83,96,30699.316080545443
84,98,1781.4703056019114
85,100,2384.8062928295353
86,102,15241.608272073698
87,104,716645.1573960059
88,106,314124.4058535747
89,108,
90,110,
91,112,
92,114,
93,116,165109.33855484167
94,119,1468.9212203096063
95,121,605.9318986584418
96,123,254.73646794781362
97,126,369.00549647950817
98,128,510.9821204572697
