,scales,lacunarity
0,1,
1,2,
2,3,
3,4,
4,5,
5,6,
6,7,53746515.43609014
7,8,3572886.4199581724
8,9,891519.1150468875
9,10,522813.1268294961
10,11,481929.3659387971
11,12,330422.4631538439
12,13,329703.717817747
13,14,230795.92059002878
14,15,200096.4953248523
15,16,199926.64671035332
16,17,256709.67600494414
17,18,204102.3496832141
18,19,98361.67286094949
19,20,40283.47578820853
20,21,24781.97715480325
21,22,18444.988863112136
22,23,13889.372248128562
23,24,10607.636287221858
24,25,8595.054730462365
25,26,9658.265083674363
26,27,11880.543430867021
27,28,14421.953018579374
28,29,18797.711367160628
29,30,40135.137976218604
30,31,43302.97536446561
31,32,46709.45192942794
32,33,119265.36491190594
33,34,252875.69349141637
34,35,329951.24795003084
35,36,774967.9898041133
36,37,2274838.9486194
37,38,
38,39,
39,40,
40,41,
41,42,
42,43,
43,44,
44,45,
45,46,
46,47,
47,48,
48,49,
49,50,
50,51,
51,52,
52,53,
53,54,
54,55,
55,56,
56,58,
57,59,
58,60,
59,61,
60,62,
61,63,
62,65,
63,66,
64,67,
65,68,
66,70,
67,71,
68,72,
69,74,
70,75,
71,77,
72,78,
73,80,
74,81,
75,83,
76,84,
77,86,
78,87,
79,89,
80,91,
81,93,
82,94,
83,96,
84,98,
85,100,
86,102,
87,104,
88,106,
89,108,
90,110,
91,112,
92,114,
93,116,
94,119,704.2647376201354
95,121,420.16379567019095
96,123,86.06790391916245
97,126,59.327100093106374
98,128,32.691952335592
