,scales,lacunarity
0,1,
1,2,13597796757913.203
2,3,271319459.0051475
3,4,12981795.235282348
4,5,7426715.225410763
5,6,5935372.19761489
6,7,2381721.897190897
7,8,1224722.3030672641
8,9,507833.3384444542
9,10,460942.5100861024
10,11,322767.4200998543
11,12,222955.77682947385
12,13,185660.82903630138
13,14,141305.59607274135
14,15,132429.36628342568
15,16,121104.06459088804
16,17,105982.66999507019
17,18,62648.383703990075
18,19,61329.93771532962
19,20,44896.62782893762
20,21,38859.584287029065
21,22,35551.16829853888
22,23,27895.67804778291
23,24,30756.930419303175
24,25,25554.350951404314
25,26,23914.801539595937
26,27,21184.167959405266
27,28,21947.481908094844
28,29,23554.688030151316
29,30,37129.57393673499
30,31,35078.108734720336
31,32,35775.615960757576
32,33,41617.07127732588
33,34,42899.90235518769
34,35,49429.627561168476
35,36,51601.30885708359
36,37,75118.46679103031
37,38,137196.50195462356
38,39,209637.64211241028
39,40,
40,41,
41,42,
42,43,
43,44,
44,45,
45,46,
46,47,
47,48,
48,49,
49,50,
50,51,
51,52,
52,53,
53,54,
54,55,
55,56,
56,58,
57,59,
58,60,
59,61,
60,62,
61,63,
62,65,
63,66,
64,67,
65,68,
66,70,
67,71,
68,72,
69,74,261861.2636061409
70,75,1209906.0375630413
71,77,1016001.7027279
72,78,82482.53150402407
73,80,6172.342933352649
74,81,3496.164818834955
75,83,2876.186970864717
76,84,5437.666839281574
77,86,
78,87,
79,89,
80,91,
81,93,
82,94,
83,96,
84,98,2403.8582180563167
85,100,3562.1987285476907
86,102,5722.67454597899
87,104,2399.1230160304344
88,106,448.1075537018525
89,108,384.603746554781
90,110,216.9465245543033
91,112,243.91736355662715
92,114,332.4287308217582
93,116,423.1702258560746
94,119,4365.571474606498
95,121,905534.7848684352
96,123,600.4674315618322
97,126,139.9930794224667
98,128,224.38480492794946
