,scales,lacunarity
0,1,
1,2,
2,3,
3,4,
4,5,
5,6,
6,7,
7,8,
8,9,
9,10,
10,11,
11,12,
12,13,
13,14,
14,15,
15,16,
16,17,
17,18,
18,19,
19,20,
20,21,
21,22,
22,23,
23,24,
24,25,
25,26,
26,27,
27,28,
28,29,1715218.3301593284
29,30,214975.42782921006
30,31,69930.36645821214
31,32,32484.420104518835
32,33,18611.368911567
33,34,12125.161581106624
34,35,8695.130096413734
35,36,6732.8580802962515
36,37,5642.89804288655
37,38,5061.752620607028
38,39,4806.809739806311
39,40,4741.406658681603
40,41,4782.397520572025
41,42,5046.607408942344
42,43,5789.641552473515
43,44,7393.208484209974
44,45,10450.294193840422
45,46,16363.978573963404
46,47,28424.337242542926
47,48,58054.22120801278
48,49,174363.08910293275
49,50,2871198.4289524956
50,51,
51,52,
52,53,
53,54,
54,55,
55,56,
56,58,
57,59,
58,60,
59,61,
60,62,
61,63,
62,65,
63,66,
64,67,
65,68,
66,70,
67,71,
68,72,
69,74,
70,75,
71,77,
72,78,
73,80,
74,81,
75,83,
76,84,
77,86,
78,87,
79,89,
80,91,8779.318535191955
81,93,885.8171086544382
82,94,484.2746124316305
83,96,233.99190417579936
84,98,158.78604536442967
85,100,124.22564279852159
86,102,104.09449146419635
87,104,98.87650434242103
88,106,103.52839456436878
89,108,122.04067795332335
90,110,170.38054514900782
91,112,283.1666567504339
92,114,554.421720417005
93,116,1314.700671989939
94,119,9745.94611364137
95,121,393939.0283916168
96,123,
97,126,1715.8690284334125
98,128,276.4204770645631
