,scales,lacunarity
0,1,
1,2,
2,3,
3,4,
4,5,
5,6,
6,7,
7,8,100856521.55904607
8,9,9964310.164205141
9,10,4884067.234404978
10,11,4449543.449357013
11,12,2342865.630655537
12,13,3602681.340002528
13,14,2498926.0967852096
14,15,1459032.253043631
15,16,835881.671723086
16,17,594304.2672938037
17,18,208669.00072338284
18,19,69930.48688022666
19,20,29373.089493076393
20,21,18763.282451830826
21,22,14453.695559155023
22,23,10508.971791115839
23,24,7362.028249307458
24,25,5779.903328925755
25,26,5757.8068489190155
26,27,5634.135383318863
27,28,5313.965099058586
28,29,5542.562501117469
29,30,7055.7002860895345
30,31,7252.427760915178
31,32,8219.19898953083
32,33,10802.509911405841
33,34,10593.888629446228
34,35,8490.875704661352
35,36,7439.867200382649
36,37,7757.660405584854
37,38,8248.359000090237
38,39,9241.0243145647
39,40,18147.482525141186
40,41,16639.91795732079
41,42,10397.725743262152
42,43,9941.3248780072
43,44,9988.843661188568
44,45,7848.451878124979
45,46,7214.970296630093
46,47,6390.5798955532055
47,48,6187.200852123066
48,49,5810.502744071163
49,50,4572.283012261248
50,51,3801.011495809016
51,52,3671.443811139786
52,53,4158.3096148233435
53,54,4015.134322505851
54,55,5391.347649372199
55,56,6605.832896763299
56,58,10684.032524967954
57,59,10964.278468774139
58,60,10553.777844188631
59,61,10458.899550084823
60,62,10179.780074951983
61,63,8553.110596388786
62,65,149965.62486050106
63,66,
64,67,
65,68,
66,70,
67,71,
68,72,
69,74,
70,75,
71,77,
72,78,
73,80,
74,81,
75,83,
76,84,
77,86,
78,87,
79,89,
80,91,
81,93,
82,94,
83,96,
84,98,
85,100,
86,102,
87,104,
88,106,
89,108,
90,110,
91,112,
92,114,27313.385225750175
93,116,199.4739420674552
94,119,52.0873730971278
95,121,37.3868297932079
96,123,19.519892744737458
97,126,16.625374816681898
98,128,10.52501204915963
