,q,t(q),d(q),n_points,a(q),f(a)
0,-8.0,-19.645754178462035,2.1828615753846705,51,2.1865227892386887,2.153571864552525
1,-7.874015748031496,-19.370294916862314,2.1828105185816447,51,2.1863933025717217,2.1545996210219833
2,-7.748031496062993,-19.094851849898514,2.1827598424276426,51,2.186265699393393,2.1555963522363193
3,-7.622047244094488,-18.81942474194115,2.182709536279932,51,2.1861399401649826,2.156562835801754
4,-7.496062992125984,-18.544013365173075,2.1826595897840413,51,2.186015957471048,2.1575000461775034
5,-7.3700787401574805,-18.268617499377125,2.1826099928700797,51,2.18589369350649,2.158408860620632
6,-7.244094488188976,-17.993236931722794,2.1825607357486105,51,2.1857730900379253,2.1592901377472735
7,-7.118110236220472,-17.717871456553,2.1825118089061406,51,2.1856540910914326,2.1601446979179197
8,-6.9921259842519685,-17.44252087517153,2.1824632031002804,51,2.1855366422231706,2.160973329548103
9,-6.866141732283465,-17.167184995631967,2.1824149093546144,51,2.1854206906979154,2.1617767886352564
10,-6.740157480314961,-16.89186363252861,2.18236691895334,51,2.1853061854197113,2.16255580009339
11,-6.6141732283464565,-16.616556606789953,2.182319223435702,51,2.1851930769236563,2.163311058633486
12,-6.488188976377953,-16.341263745475178,2.182271814590271,51,2.185081317345737,2.164043229783152
13,-6.362204724409449,-16.065984881574067,2.182224684449098,51,2.184970860396705,2.164752950861173
14,-6.2362204724409445,-15.790719853810604,2.1821778252817703,51,2.184861661330029,2.1654408319729423
15,-6.110236220472441,-15.515468506450668,2.1821312295894075,51,2.1847536769090556,2.1661074569906127
16,-5.984251968503937,-15.24023068911395,2.1820848900986154,51,2.184646865372737,2.1667533845211935
17,-5.858267716535433,-14.965006256590355,2.182038799755425,51,2.1845411863988593,2.1673791488679033
18,-5.73228346456693,-14.689795068661002,2.1819929517192365,51,2.1844366010676124,2.1679852609663417
19,-5.606299212598425,-14.414596989923995,2.1819473393567907,51,2.1843330718232625,2.1685722093085396
20,-5.480314960629921,-14.139411889624958,2.181901956236172,51,2.1842305624352445,2.1691404608459806
21,-5.354330708661418,-13.864239641492526,2.1818567961208806,51,2.1841290379600697,2.169690461863805
22,-5.228346456692913,-13.589080123578672,2.1818118529639587,51,2.1840284647016364,2.170222638839409
23,-5.102362204724409,-13.313933218104024,2.181767120902208,51,2.183928810172148,2.170737399272907
24,-4.9763779527559056,-13.03879881130805,2.1817225942504908,51,2.1838300430538933,2.1712351324886754
25,-4.850393700787402,-12.763676793304132,2.18167826749613,51,2.1837321331598027,2.171716210418788
26,-4.724409448818898,-12.488567057939488,2.1816341352934177,51,2.1836350513958083,2.1721809883529914
27,-4.5984251968503935,-12.213469502659873,2.1815901924582333,51,2.183538769723247,2.1726298056647853
28,-4.47244094488189,-11.938384028378959,2.1815464339627737,51,2.1834432611213725,2.173062986513292
29,-4.346456692913386,-11.66331053935236,2.181502854930412,51,2.183348499551454,2.173480840514543
30,-4.2204724409448815,-11.388248943056203,2.1814594506306757,51,2.183254459920873,2.173883663390157
31,-4.094488188976378,-11.11319915007012,2.1814162164743514,51,2.183161118048412,2.174271737588432
32,-3.968503937007874,-10.838161073964557,2.1813731480087144,51,2.183068450630317,2.1746453328804627
33,-3.8425196850393704,-10.563134631192368,2.1813302409128954,51,2.182976435206889,2.1750047069328247
34,-3.7165354330708666,-10.288119740984456,2.1812874909933653,51,2.182885050130738,2.1753501058528926
35,-3.590551181102362,-10.01311632524948,2.181244894179561,51,2.1827942745350732,2.1756817647141
36,-3.4645669291338583,-9.738124308477401,2.1812024465196296,51,2.182704088303281,2.1759999080565855
37,-3.3385826771653546,-9.463143617646825,2.1811601441763098,51,2.182614472040005,2.1763047503636583
38,-3.21259842519685,-9.188174182135967,2.1811179834229306,51,2.1825254070420645,2.1765964965205162
39,-3.0866141732283463,-8.913215933637195,2.181075960639545,51,2.182436875271074,2.176875342249314
40,-2.9606299212598426,-8.638268806074937,2.181034072309179,51,2.1823488593269427,2.177141474524303
41,-2.834645669291339,-8.363332735526932,2.18099231501421,51,2.182261342421862,2.1773950719688973
42,-2.708661417322835,-8.088407660148626,2.1809506854328564,51,2.1821743083558767,2.1776363052319194
43,-2.5826771653543306,-7.8134935201006614,2.180909180335789,51,2.1820877414926243,2.1778653373480577
44,-2.456692913385827,-7.538590257479329,2.180867796582858,51,2.1820016267363034,2.178082324079906
45,-2.330708661417323,-7.263697816249841,2.180826531119928,51,2.181915949509813,2.1782874142427167
46,-2.2047244094488185,-6.9888161421823725,2.1807853809758266,51,2.1818306957331455,2.178480750014808
47,-2.078740157480315,-6.713945182790727,2.1807443432593923,51,2.181745851802795,2.1786624672321624
48,-1.952755905511811,-6.439084887273536,2.1807034151566373,51,2.181661404572392,2.1788326956676043
49,-1.8267716535433074,-6.164235206457888,2.180662593927999,51,2.181577341333419,2.1789915592976254
50,-1.7007874015748037,-5.889396092745316,2.1806218769056995,51,2.181493649797171,2.179139176554851
51,-1.574803149606299,-5.614567500060005,2.1805812614911946,51,2.181410318077401,2.1792756605680355
52,-1.4488188976377954,-5.339749383799171,2.180540745152716,51,2.1813273346733055,2.1794011193906027
53,-1.3228346456692917,-5.064941700785487,2.180500325422904,51,2.1812446884538437,2.179515656216622
54,-1.196850393700787,-4.790144409221502,2.1804599998965264,51,2.1811623686420374,2.179619369586938
55,-1.0708661417322833,-4.515357468645968,2.1804197662282814,51,2.1810803648003185,2.17971235358421
56,-0.9448818897637796,-4.2405808398919556,2.1803796221306815,51,2.1809986668165386,2.1797946980180605
57,-0.8188976377952759,-3.96581448504674,2.180339565372017,51,2.180917264890189,2.1798664886012302
58,-0.6929133858267722,-3.6910583674133415,2.1802995937743916,51,2.180836149519696,2.1799278071162282
59,-0.5669291338582676,-3.4163124514736656,2.180259705211837,51,2.180755311489815,2.1799787315739283
60,-0.4409448818897639,-3.141576702853184,2.1802198976084934,51,2.18067474185981,2.1800193363638187
61,-0.31496062992126017,-2.866851088287052,2.180180168936859,51,2.1805944319521937,2.1800496923965964
62,-0.18897637795275557,-2.5921355755876574,2.1801405172161097,51,2.1805143733417207,2.1800698672396166
63,-0.06299212598425186,-2.317430133613495,2.180100940510473,51,2.1804345578450017,2.180079925245306
