,scales,lacunarity
0,1,
1,2,
2,3,
3,4,193015551.95804602
4,5,14464014.27323918
5,6,10620460.370867074
6,7,6531088.500457793
7,8,1810096.8399003753
8,9,796571.8701395694
9,10,658805.2855116102
10,11,639825.6143661174
11,12,495656.17521336337
12,13,433186.56164209347
13,14,313619.5181703447
14,15,295031.71262384433
15,16,319997.2819646243
16,17,433284.74775486544
17,18,306689.48081371194
18,19,147403.92258500864
19,20,59394.46905906121
20,21,33268.393216633965
21,22,26762.16510941049
22,23,25225.528048580214
23,24,25477.271344974
24,25,26822.943683641926
25,26,37644.861825022745
26,27,65441.23225606325
27,28,116453.85183457594
28,29,339523.41201495135
29,30,
30,31,
31,32,
32,33,
33,34,
34,35,
35,36,
36,37,
37,38,
38,39,
39,40,
40,41,
41,42,
42,43,
43,44,
44,45,
45,46,
46,47,
47,48,
48,49,
49,50,
50,51,
51,52,
52,53,
53,54,
54,55,
55,56,
56,58,
57,59,
58,60,
59,61,
60,62,
61,63,
62,65,
63,66,
64,67,
65,68,
66,70,
67,71,
68,72,
69,74,
70,75,
71,77,
72,78,
73,80,88887.50240653743
74,81,31306.506262840663
75,83,192600.7940102783
76,84,
77,86,
78,87,
79,89,
80,91,
81,93,
82,94,
83,96,
84,98,
85,100,
86,102,
87,104,
88,106,
89,108,
90,110,
91,112,
92,114,
93,116,
94,119,1104.9146623480415
95,121,473.15446903041993
96,123,77.69269412329606
97,126,72.88311175819477
98,128,45.02637636731996
