,scales,lacunarity
0,1,
1,2,272445163.74395764
2,3,207286177.9511014
3,4,289323177.90517366
4,5,797214895.2595059
5,6,263950244.04855263
6,7,13653683.637776248
7,8,2586801.710074609
8,9,1391059.2813590295
9,10,658865.2585745718
10,11,314071.0217384023
11,12,162857.2526232962
12,13,143930.69623371089
13,14,150941.85775528065
14,15,214534.3828835304
15,16,531852.5542382296
16,17,698260.2009618649
17,18,255679.51371411467
18,19,136642.1726263526
19,20,111510.44341708219
20,21,115991.02161572063
21,22,174379.9967701308
22,23,307844.1307730495
23,24,1086410.7735336018
24,25,
25,26,
26,27,
27,28,
28,29,
29,30,
30,31,
31,32,
32,33,
33,34,
34,35,
35,36,
36,37,
37,38,
38,39,
39,40,
40,41,
41,42,
42,43,
43,44,
44,45,
45,46,
46,47,
47,48,
48,49,
49,50,
50,51,
51,52,
52,53,
53,54,
54,55,
55,56,
56,58,233510.90353280443
57,59,114880.56361008328
58,60,57888.09711537201
59,61,22524.386198500477
60,62,13002.06216771322
61,63,8909.5282182132
62,65,9269.382162848146
63,66,12933.835837996729
64,67,22438.31826708684
65,68,38055.084772765425
66,70,23245.654183923074
67,71,22893.390248449286
68,72,31517.017770854392
69,74,
70,75,
71,77,
72,78,
73,80,
74,81,239192.4715965261
75,83,2166073.5025697807
76,84,588244.9706254347
77,86,10299.050453010685
78,87,7331.096632731551
79,89,5706.335523720653
80,91,11051.319669236269
81,93,99516.31671650654
82,94,
83,96,
84,98,
85,100,
86,102,
87,104,
88,106,
89,108,
90,110,
91,112,
92,114,
93,116,
94,119,
95,121,
96,123,
97,126,
98,128,
