,scales,lacunarity
0,1,
1,2,
2,3,710469992.688011
3,4,71946432.23608947
4,5,26269590.86095812
5,6,14990821.794146892
6,7,4090108.752719356
7,8,3114229.9190242155
8,9,1957334.4707218162
9,10,3831983.581252851
10,11,3351496.9946231483
11,12,1676130.0831328002
12,13,705880.1939961005
13,14,238015.1833661811
14,15,159999.07044873288
15,16,145883.24629699485
16,17,106252.53471556967
17,18,74303.70715603657
18,19,78048.58308430272
19,20,81259.10455366057
20,21,107411.65575928884
21,22,157003.95161552067
22,23,92162.14527384841
23,24,95817.57508269008
24,25,71526.57829615189
25,26,64829.20147924911
26,27,38954.196095105624
27,28,28624.12756172848
28,29,19841.802489211084
29,30,24108.160917562745
30,31,29445.835070381356
31,32,26146.22145789162
32,33,20652.017035670102
33,34,18299.99303028839
34,35,15065.016797190208
35,36,13139.058050133715
36,37,11705.743908668446
37,38,13701.24354809258
38,39,16129.779916381836
39,40,79110.7462206345
40,41,298943279.6206567
41,42,
42,43,
43,44,
44,45,
45,46,
46,47,
47,48,
48,49,
49,50,
50,51,
51,52,
52,53,
53,54,
54,55,
55,56,
56,58,
57,59,
58,60,
59,61,
60,62,
61,63,
62,65,
63,66,
64,67,
65,68,
66,70,
67,71,
68,72,
69,74,
70,75,
71,77,
72,78,
73,80,
74,81,
75,83,
76,84,
77,86,
78,87,
79,89,
80,91,
81,93,
82,94,
83,96,
84,98,
85,100,
86,102,
87,104,
88,106,
89,108,
90,110,
91,112,
92,114,
93,116,
94,119,
95,121,
96,123,
97,126,
98,128,
