,q,t(q),d(q),n_points,a(q),f(a)
0,-8.0,-19.629352262041145,2.181039140226794,51,2.1821693136410825,2.1719977529124854
1,-7.874015748031496,-19.354435411699765,2.1810233338827594,51,2.1821357022594414,2.1722645277671546
2,-7.748031496062993,-19.079522789539592,2.181007555599935,51,2.1821021912644416,2.1725262839946247
3,-7.622047244094488,-18.804614382935874,2.1809918051441604,51,2.1820687801229406,2.1727830509751946
4,-7.496062992125984,-18.529710179370138,2.1809760822798956,51,2.182035467903751,2.1730348609105263
5,-7.3700787401574805,-18.254810166431685,2.180960386770295,51,2.1820022537679837,2.173281744960562
6,-7.244094488188976,-17.979914331818904,2.1809447183772694,51,2.181969136838224,2.1735237342506686
7,-7.118110236220472,-17.70502266334067,2.180929076861557,51,2.181936116234038,2.1737608595960243
8,-6.9921259842519685,-17.43013514891757,2.1809134619827897,51,2.181903191063496,2.1739931515602144
9,-6.866141732283465,-17.155251776583132,2.1808978734995574,51,2.1818703604257124,2.174220640431784
10,-6.740157480314961,-16.880372534484955,2.18088231116947,51,2.181837623410421,2.1744433562225893
11,-6.6141732283464565,-16.605497410885842,2.1808667747492265,51,2.181804979099331,2.1746613286540466
12,-6.488188976377953,-16.330626394164803,2.180851263994669,51,2.1817724265659537,2.1748745871542052
13,-6.362204724409449,-16.055759472818057,2.1808357786608483,51,2.1817399648761113,2.175083160850356
14,-6.2362204724409445,-15.780896635459955,2.180820318502083,51,2.1817075930886833,2.1752870785604497
15,-6.110236220472441,-15.506037870823876,2.180804883272018,51,2.1816753102554927,2.175486368790315
16,-5.984251968503937,-15.231183167763024,2.18078947272368,51,2.1816431154224087,2.175681059723413
17,-5.858267716535433,-14.956332515251223,2.180774086609535,51,2.181611007628777,2.1758711792212218
18,-5.73228346456693,-14.681485902383649,2.1807587246815476,51,2.181578985908855,2.176056754811629
19,-5.606299212598425,-14.40664331837748,2.1807433866912276,51,2.1815470492917313,2.1762378136868286
20,-5.480314960629921,-14.13180475257255,2.1807280723896887,51,2.181515196801173,2.176414382701557
21,-5.354330708661418,-13.856970194431916,2.180712781527699,51,2.1814834274571853,2.176586488361947
22,-5.228346456692913,-13.582139633542406,2.1806975138557343,51,2.1814517402753113,2.1767541568273927
23,-5.102362204724409,-13.307313059615094,2.1806822691240217,51,2.1814201342673103,2.1769174139047234
24,-4.9763779527559056,-13.032490462485757,2.180667047082597,51,2.1813886084418903,2.1770762850426504
25,-4.850393700787402,-12.757671832115278,2.180651847481346,51,2.1813571618044802,2.177230795331342
26,-4.724409448818898,-12.482857158589999,2.180636670070055,51,2.1813257933578947,2.177380969497582
27,-4.5984251968503935,-12.208046432122051,2.1806215145984535,51,2.181294502102572,2.1775268319023517
