,q,t(q),d(q),n_points,a(q),f(a)
0,-8.0,-19.64721430781757,2.18302381197973,51,2.18677188984857,2.153039189029009
1,-7.874015748031496,-19.371723333171143,2.182971484749543,51,2.186647528558645,2.154026257906221
2,-7.748031496062993,-19.096247952049676,2.182919432862564,51,2.1865243426398986,2.1549884783673114
3,-7.622047244094488,-18.82078801700696,2.182867651287565,51,2.1864023170413924,2.155926261919813
4,-7.496062992125984,-18.545343383585017,2.182816135046614,51,2.186281425759166,2.156840097579302
5,-7.3700787401574805,-18.269913910300307,2.18276487921744,51,2.1861616458740927,2.1577304414959713
6,-7.244094488188976,-17.99449945862613,2.182713878935548,51,2.1860429538279336,2.1585977458568486
7,-7.118110236220472,-17.71909989297156,2.1826631293961087,51,2.1859253264550182,2.159442451118517
8,-6.9921259842519685,-17.443715080657185,2.182612625855628,51,2.185808740737396,2.1602649879421634
9,-6.866141732283465,-17.16834489188795,2.1825623636334033,51,2.1856931738987564,2.161065776614599
10,-6.740157480314961,-16.89298919972334,2.1825123381127813,51,2.1855786034048936,2.161845227167518
11,-6.6141732283464565,-16.617647880045208,2.1824625447422354,51,2.1854650069870005,2.162603739343787
12,-6.488188976377953,-16.342320811523486,2.1824129790362594,51,2.1853523626562015,2.1633417026360053
13,-6.362204724409449,-16.067007875579897,2.182363636576093,51,2.185240648718467,2.1640594963316975
14,-6.2362204724409445,-15.791708956350082,2.182314513010294,51,2.185129843786565,2.1647574895866217
15,-6.110236220472441,-15.5164239406442,2.1822656040551647,51,2.1850199267914636,2.1654360415089577
16,-5.984251968503937,-15.241152717906234,2.18221690549503,51,2.184910876991665,2.1660955012631984
17,-5.858267716535433,-14.96589518017222,2.1821684131824015,51,2.184802673980999,2.166736208189045
18,-5.73228346456693,-14.690651222027528,2.1821201230380067,51,2.1846952976959444,2.1673584919279403
19,-5.606299212598425,-14.41542074056339,2.1820720310507156,51,2.1845887284204335,2.1679626725685193
20,-5.480314960629921,-14.140203635332806,2.182024133277359,51,2.1844829467904585,2.1685490607961206
21,-5.354330708661418,-13.864999808305967,2.1819764258424508,51,2.1843779337975637,2.169117958051295
22,-5.228346456692913,-13.58980916382535,2.181928904937825,51,2.1842736707905397,2.1696696567000107
23,-5.102362204724409,-13.314631608560589,2.1818815668221867,51,2.1841701394771755,2.170204440204607
24,-4.9763779527559056,-13.039467051463195,2.1818344078205874,51,2.1840673219246116,2.170722583302922
25,-4.850393700787402,-12.764315403721353,2.181787424323838,51,2.183965200558691,2.171224352192583
26,-4.724409448818898,-12.489176578714726,2.1817406127878542,51,2.1838637581634823,2.171710004714022
27,-4.5984251968503935,-12.214050491969472,2.181693969732944,51,2.183762977879,2.1721797905416285
28,-4.47244094488189,-11.938937061113537,2.1816474917430493,51,2.183662843198962,2.172633951373296
29,-4.346456692913386,-11.66383620583222,2.1816011754649365,51,2.183563337968416,2.173072721119105
30,-4.2204724409448815,-11.3887478478242,2.1815550176073506,51,2.183464446379602,2.1734963260961173
31,-4.094488188976378,-11.113671910757985,2.18150901494013,51,2.1833661529684605,2.173904985217831
32,-3.968503937007874,-10.83860832022886,2.1814631642932887,51,2.1832684426106566,2.1742989101834187
