,scales,lacunarity
0,1,
1,2,
2,3,
3,4,36978390955.062225
4,5,478945479.3971311
5,6,
6,7,1221953502.6548414
7,8,8177121.160464277
8,9,2419516.3166823373
9,10,1901553.2196783705
10,11,1741910.4591418917
11,12,1935687.96865039
12,13,1634429.7024196635
13,14,1059899.9817650209
14,15,1580531.3685781192
15,16,1073460.720624432
16,17,1508400.3086589042
17,18,634105.579227592
18,19,227833.70557874648
19,20,88002.17623424178
20,21,45950.00239016441
21,22,37096.80989937373
22,23,37596.707187779684
23,24,43047.278029479014
24,25,46433.33321453102
25,26,89442.00209214378
26,27,169510.88166636493
27,28,312960.78493903746
28,29,1181391.5609892723
29,30,
30,31,
31,32,
32,33,
33,34,
34,35,
35,36,
36,37,
37,38,
38,39,
39,40,
40,41,
41,42,
42,43,
43,44,
44,45,
45,46,
46,47,
47,48,
48,49,
49,50,
50,51,
51,52,
52,53,
53,54,
54,55,
55,56,
56,58,
57,59,
58,60,
59,61,
60,62,
61,63,
62,65,
63,66,
64,67,
65,68,
66,70,
67,71,
68,72,
69,74,
70,75,
71,77,174927.5540466684
72,78,25803.7945666691
73,80,6410.930364164772
74,81,5784.986942967557
75,83,10191.31603552992
76,84,16166.07269288347
77,86,
78,87,
79,89,
80,91,
81,93,
82,94,
83,96,
84,98,
85,100,
86,102,
87,104,
88,106,
89,108,
90,110,
91,112,
92,114,
93,116,
94,119,
95,121,
96,123,2454.6226865823337
97,126,
98,128,4131.8998583386265
