,scales,lacunarity
0,1,
1,2,
2,3,
3,4,157951628.03674802
4,5,15096119.885383163
5,6,6623220.618467077
6,7,2209365.4738508225
7,8,2135873.667026656
8,9,1234656.806990864
9,10,2201861.5159242926
10,11,1499463.9973403758
11,12,914825.2661989575
12,13,528022.7381571698
13,14,240301.88987862153
14,15,153813.0195556129
15,16,143798.16596036
16,17,107102.11495840902
17,18,70520.93790136938
18,19,64155.91438904229
19,20,67419.87330425746
20,21,66610.91352897618
21,22,77209.72715225977
22,23,45625.06381933961
23,24,37604.10202414964
24,25,22405.686187636384
25,26,17441.90723232193
26,27,12308.816141557545
27,28,9216.690018152382
28,29,7771.497342038745
29,30,8329.961352342647
30,31,8012.410194515928
31,32,7463.496168447375
32,33,5854.421125773122
33,34,4941.303505475812
34,35,4129.509377308155
35,36,3294.9858770826004
36,37,2603.6322721685074
37,38,2767.6906585302277
38,39,2979.1398573556576
39,40,3950.4140525499965
40,41,5923.0109230533235
41,42,6346.01451277766
42,43,7663.544267781974
43,44,6589.7442484957655
44,45,7544.552514461729
45,46,7588.296421121525
46,47,14701.742373775456
47,48,20145.448096812852
48,49,30529.034168459388
49,50,24518.21867716131
50,51,37563.19591151091
51,52,111602.23927060846
52,53,141930.59507409242
53,54,92199.47062919264
54,55,335585.6207603903
55,56,3705847.7275109882
56,58,
57,59,
58,60,
59,61,
60,62,
61,63,
62,65,
63,66,
64,67,
65,68,
66,70,
67,71,
68,72,
69,74,
70,75,
71,77,
72,78,
73,80,
74,81,
75,83,
76,84,
77,86,
78,87,
79,89,
80,91,
81,93,
82,94,
83,96,
84,98,
85,100,
86,102,
87,104,
88,106,
89,108,
90,110,
91,112,
92,114,
93,116,
94,119,
95,121,
96,123,
97,126,
98,128,
