,scales,lacunarity
0,1,
1,2,1961358900.188859
2,3,92940206.33388545
3,4,22722639.70431059
4,5,8490665.211567555
5,6,4108095.6774721914
6,7,1671554.490843841
7,8,1388023.0731268483
8,9,798944.8982725026
9,10,768154.8419530855
10,11,470161.59233407496
11,12,285435.72366076487
12,13,204516.04989285328
13,14,113742.8323602233
14,15,83836.64497532559
15,16,75768.87512833023
16,17,61840.615482429734
17,18,48476.543780192675
18,19,49942.00886728505
19,20,47795.49753823762
20,21,46294.68873203128
21,22,53700.14791982146
22,23,37534.45070214993
23,24,39860.11049375959
24,25,25683.815356087816
25,26,21297.42579419266
26,27,15716.50799138558
27,28,12239.027082275028
28,29,9826.185818152064
29,30,10678.010567231291
30,31,11094.83293832408
31,32,11052.808536303432
32,33,11084.296352913101
33,34,10478.093721549369
34,35,9712.665148381724
35,36,9307.603580592111
36,37,8280.426066345843
37,38,9468.541493623612
38,39,13465.238071413183
39,40,57907.763500002264
40,41,2163190.7512209318
41,42,
42,43,
43,44,
44,45,
45,46,
46,47,
47,48,
48,49,
49,50,
50,51,
51,52,
52,53,
53,54,
54,55,
55,56,
56,58,
57,59,
58,60,
59,61,
60,62,
61,63,
62,65,
63,66,
64,67,
65,68,
66,70,
67,71,
68,72,
69,74,
70,75,
71,77,
72,78,
73,80,
74,81,
75,83,
76,84,
77,86,
78,87,
79,89,
80,91,
81,93,
82,94,
83,96,
84,98,
85,100,
86,102,
87,104,
88,106,
89,108,
90,110,
91,112,
92,114,
93,116,
94,119,
95,121,
96,123,
97,126,
98,128,
