,scales,lacunarity
0,1,
1,2,
2,3,
3,4,169885007.0719282
4,5,37174322.76617527
5,6,16988137.87163157
6,7,3726406.2815967742
7,8,3166917.8990432443
8,9,1816131.5770531353
9,10,6160964.812707417
10,11,4814499.3983634915
11,12,2897700.925081948
12,13,970496.7247330035
13,14,321464.119930525
14,15,190962.71001866288
15,16,178187.48207408932
16,17,140683.72733787855
17,18,96329.31218518579
18,19,104668.93891166434
19,20,120986.69439919922
20,21,149168.86946975577
21,22,208218.00248618142
22,23,99486.29685888789
23,24,76513.55995606705
24,25,37621.71817950514
25,26,26496.963652322338
26,27,16711.792613478283
27,28,11892.062488557942
28,29,9471.78564157494
29,30,9653.417059079733
30,31,9681.377394998713
31,32,9003.48287898685
32,33,6961.63848798386
33,34,6142.15564578627
34,35,5203.505446163149
35,36,4189.574660981029
36,37,3215.0704215585283
37,38,3437.8633118526677
38,39,3699.2994916222633
39,40,5140.659486892382
40,41,7804.948321875591
41,42,8480.687498653211
42,43,11114.49328381561
43,44,9256.965676476235
44,45,10727.872895449005
45,46,11167.349941305114
46,47,24146.218025290127
47,48,45661.6188571073
48,49,103868.82202842837
49,50,54696.82242062894
50,51,92823.80704575207
51,52,765383.1500751607
52,53,1420974.724413602
53,54,677306.1283092835
54,55,
55,56,
56,58,
57,59,
58,60,
59,61,
60,62,
61,63,
62,65,
63,66,
64,67,
65,68,
66,70,
67,71,
68,72,
69,74,
70,75,
71,77,
72,78,
73,80,
74,81,
75,83,
76,84,
77,86,
78,87,
79,89,
80,91,
81,93,
82,94,
83,96,
84,98,
85,100,
86,102,
87,104,
88,106,
89,108,
90,110,
91,112,
92,114,
93,116,
94,119,
95,121,
96,123,
97,126,
98,128,
