,scales,lacunarity
0,1,
1,2,1619177771.3432121
2,3,81256680.6264579
3,4,30434443.16916718
4,5,19479584.489188805
5,6,12913257.251113227
6,7,8815831.474548824
7,8,5000370.167349914
8,9,4494448.287056251
9,10,2821973.7983391117
10,11,1081435.9906560297
11,12,404175.1658990251
12,13,358724.7520567959
13,14,320977.2234733868
14,15,462827.16255527554
15,16,1200954.767189507
16,17,1319385.5345376672
17,18,311830.8851919289
18,19,128226.91151577805
19,20,99644.27653612677
20,21,118305.08639089731
21,22,227338.13669888568
22,23,487669.500587682
23,24,2493658.284476862
24,25,
25,26,
26,27,
27,28,
28,29,
29,30,
30,31,
31,32,
32,33,
33,34,
34,35,
35,36,
36,37,
37,38,
38,39,
39,40,
40,41,
41,42,
42,43,
43,44,
44,45,
45,46,
46,47,
47,48,
48,49,
49,50,
50,51,
51,52,
52,53,
53,54,
54,55,
55,56,31277796.068628196
56,58,50602.30280226274
57,59,33431.82981588783
58,60,22779.74681347925
59,61,12441.274624531323
60,62,9230.128264705616
61,63,7520.274255759091
62,65,9014.595057316032
63,66,10877.655900313612
64,67,10176.878526988896
65,68,6547.817897544627
66,70,2079.169969371394
67,71,1916.2796722279604
68,72,1966.3379677689659
69,74,4163.493732271591
70,75,11467.510284684755
71,77,131036.54355897891
72,78,339462.04304225947
73,80,17751.32362384002
74,81,10093.617116178431
75,83,17212.99847339663
76,84,31339.87625506762
77,86,37606.275388568836
78,87,2740925.995365208
79,89,
80,91,
81,93,
82,94,
83,96,
84,98,
85,100,
86,102,
87,104,
88,106,
89,108,
90,110,
91,112,
92,114,
93,116,
94,119,
95,121,
96,123,
97,126,
98,128,
