,mean,skew,kurt_fisher,kurt_pearson,autocorr_lag1,range,min,max,iqr,std,cv,item,kind,pca
38,-1.7699029117499697e-15,0.0,0.0,3.0,1.0,0.0,-1.7699029117499705e-15,-1.7699029117499705e-15,0.0,7.896509513932003e-31,-4.461549535575614e-16,mean,fake,6
39,10.399427613155174,0.0,0.0,3.0,,0.0,10.399427613155174,10.399427613155174,0.0,0.0,0.0,std,fake,6
40,-0.24494841201844608,0.0,0.0,3.0,1.0,0.0,-0.2449484120184461,-0.2449484120184461,0.0,2.778337289411855e-17,-1.134254052319649e-16,skew,fake,6
41,3.30763836468389,0.0,0.0,3.0,,0.0,3.30763836468389,3.30763836468389,0.0,0.0,0.0,kurt,fake,6
42,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,,Unnamed: 0,fake,6
43,6.0,0.0,0.0,3.0,,0.0,6.0,6.0,0.0,0.0,0.0,pca,fake,6
44,14.643687114042649,0.0,0.0,3.0,1.0,0.0,14.643687114042644,14.643687114042644,0.0,5.334407595670762e-15,3.6428035877352917e-16,entropy,fake,6
45,-1.7699029117499697e-15,0.0,0.0,3.0,1.0,0.0,-1.7699029117499705e-15,-1.7699029117499705e-15,0.0,7.896509513932003e-31,-4.461549535575614e-16,mean,fake,6
46,10.399427613155174,0.0,0.0,3.0,,0.0,10.399427613155174,10.399427613155174,0.0,0.0,0.0,std,fake,6
47,-0.24494841201844608,0.0,0.0,3.0,1.0,0.0,-0.2449484120184461,-0.2449484120184461,0.0,2.778337289411855e-17,-1.134254052319649e-16,skew,fake,6
48,3.30763836468389,0.0,0.0,3.0,,0.0,3.30763836468389,3.30763836468389,0.0,0.0,0.0,kurt,fake,6
49,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,,Unnamed: 0,fake,6
50,6.0,0.0,0.0,3.0,,0.0,6.0,6.0,0.0,0.0,0.0,pca,fake,6
51,14.643687114042649,0.0,0.0,3.0,1.0,0.0,14.643687114042644,14.643687114042644,0.0,5.334407595670762e-15,3.6428035877352917e-16,entropy,fake,6
52,-1.7699029117499697e-15,0.0,0.0,3.0,1.0,0.0,-1.7699029117499705e-15,-1.7699029117499705e-15,0.0,7.896509513932003e-31,-4.461549535575614e-16,mean,fake,6
53,10.399427613155174,0.0,0.0,3.0,,0.0,10.399427613155174,10.399427613155174,0.0,0.0,0.0,std,fake,6
54,-0.24494841201844608,0.0,0.0,3.0,1.0,0.0,-0.2449484120184461,-0.2449484120184461,0.0,2.778337289411855e-17,-1.134254052319649e-16,skew,fake,6
55,3.30763836468389,0.0,0.0,3.0,,0.0,3.30763836468389,3.30763836468389,0.0,0.0,0.0,kurt,fake,6
56,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,,Unnamed: 0,fake,6
57,6.0,0.0,0.0,3.0,,0.0,6.0,6.0,0.0,0.0,0.0,pca,fake,6
58,14.643687114042649,0.0,0.0,3.0,1.0,0.0,14.643687114042644,14.643687114042644,0.0,5.334407595670762e-15,3.6428035877352917e-16,entropy,fake,6
59,-1.7699029117499697e-15,0.0,0.0,3.0,1.0,0.0,-1.7699029117499705e-15,-1.7699029117499705e-15,0.0,7.896509513932003e-31,-4.461549535575614e-16,mean,fake,6
60,10.399427613155174,0.0,0.0,3.0,,0.0,10.399427613155174,10.399427613155174,0.0,0.0,0.0,std,fake,6
61,-0.24494841201844608,0.0,0.0,3.0,1.0,0.0,-0.2449484120184461,-0.2449484120184461,0.0,2.778337289411855e-17,-1.134254052319649e-16,skew,fake,6
62,3.30763836468389,0.0,0.0,3.0,,0.0,3.30763836468389,3.30763836468389,0.0,0.0,0.0,kurt,fake,6
63,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,,Unnamed: 0,fake,6
64,6.0,0.0,0.0,3.0,,0.0,6.0,6.0,0.0,0.0,0.0,pca,fake,6
65,14.643687114042649,0.0,0.0,3.0,1.0,0.0,14.643687114042644,14.643687114042644,0.0,5.334407595670762e-15,3.6428035877352917e-16,entropy,fake,6
66,-1.7699029117499697e-15,0.0,0.0,3.0,1.0,0.0,-1.7699029117499705e-15,-1.7699029117499705e-15,0.0,7.896509513932003e-31,-4.461549535575614e-16,mean,fake,6
67,10.399427613155174,0.0,0.0,3.0,,0.0,10.399427613155174,10.399427613155174,0.0,0.0,0.0,std,fake,6
68,-0.24494841201844608,0.0,0.0,3.0,1.0,0.0,-0.2449484120184461,-0.2449484120184461,0.0,2.778337289411855e-17,-1.134254052319649e-16,skew,fake,6
69,3.30763836468389,0.0,0.0,3.0,,0.0,3.30763836468389,3.30763836468389,0.0,0.0,0.0,kurt,fake,6
70,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,,Unnamed: 0,fake,5
71,5.0,0.0,0.0,3.0,,0.0,5.0,5.0,0.0,0.0,0.0,pca,fake,5
72,14.643687114042649,0.0,0.0,3.0,1.0,0.0,14.643687114042644,14.643687114042644,0.0,5.334407595670762e-15,3.6428035877352917e-16,entropy,fake,5
